product_id,brand,model,model_number,company,product_name,series,processor,graphics_processor,dedicated_graphics,ram_gb,base_clock_ghz,cache,storage_description,storage_gb,storage_type,screen_size_inch,resolution,resolution_width,resolution_height,resolution_pixels,weight_kg,dimensions,length_mm,width_mm,thickness_mm,operating_system,wifi,bluetooth_version,number_of_usb_ports,usb_port_description,usb_2_count,usb_3_count,usb_total_parsed,touch_screen,fingerprint_sensor,internal_mic,pointer_device,battery_cell,colour,mic_in,speakers,multi_card_slot,rj45_lan,hdmi_port,ethernet,price_inr,rating_score,total_ratings,rating_1_pct,rating_2_pct,rating_3_pct,rating_4_pct,rating_5_pct,product_type,id,text,touchpad
LAP_51139e2630f2,HP,Pavilion 15-au628tx,15-au628tx,hp,"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",Pavilion,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,True,8.0,2.7,4MB,1TB,8.0,HDD,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,2.04,383.00 x 243.00 x 22.50,383.0,243.0,22.5,Windows 10 Home,802.11 ac,4.2,1,1 x USB 2.0,1,0,1.0,False,False,Yes,Touchpad,2.0,Natural Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100/1000 Base T,80250.0,2.89,9.0,44.0,11.0,0.0,0.0,44.0,laptop,LAP_51139e2630f2,"Brand: HP. Model: Pavilion 15-au628tx. Product: HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch). Processor: Intel Core i7 7th Gen 7500U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.04 kg. Price: ₹80250.0. Rating: 2.89 out of 5.",
LAP_7bd128732ef3,HP,15-ay006tx,15-ay006tx,hp,"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",,Intel Core i3 5th Gen 5005U,AMD Radeon R5 M430,True,8.0,2.0,3MB,500GB,8.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.19,384.30 x 254.60 x 24.30,384.3,254.6,24.3,DOS,802.11 b/g/n,4.0,3,"2 x USB 2.0, 1 x USB 3.0",2,1,3.0,False,False,Yes,Touchpad,4.0,Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100 Base T,35799.0,4.67,3.0,0.0,0.0,0.0,33.0,67.0,laptop,LAP_7bd128732ef3,"Brand: HP. Model: 15-ay006tx. Product: HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch). Processor: Intel Core i3 5th Gen 5005U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: AMD Radeon R5 M430. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.19 kg. Price: ₹35799.0. Rating: 4.67 out of 5.",
LAP_16b133fdbc76,Lenovo,G50 45,G50 45,lenovo,"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",G Series,AMD APU Quad Core A8 6th Gen A8 6410,AMD R5 M230,False,2.0,2.0,2MB,1TB,2.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.5,384.00 x 265.00 x 25.00,384.0,265.0,25.0,Windows 8.1,802.11 b/g/n/ac,4.0,3,"2 x USB 2.0, 1 x USB 3.0",2,1,3.0,False,False,Yes,Touchpad,4.0,Silver,Yes,Yes,2 in 1 Card Reader,Yes,Yes,10/100/1000 Base T,17990.0,3.56,277.0,18.0,8.0,13.0,22.0,39.0,laptop,LAP_16b133fdbc76,"Brand: Lenovo. Model: G50 45. Product: Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch). Processor: AMD APU Quad Core A8 6th Gen A8 6410. RAM: 2.0 GB. Storage capacity: 2.0 GB. Storage type: HDD. Graphics processor: AMD R5 M230. Dedicated graphics: No. Screen size: 15.6 inches. Weight: 2.5 kg. Price: ₹17990.0. Rating: 3.56 out of 5.",
LAP_3cfe06c31706,HP,Pavilion 15-ba021ax,15-ba021ax,hp,"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",Pavilion,AMD APU Quad Core A10 7th Gen A10 9600P,Intel Integrated Graphics / Nvidia GeForce 940MX,False,4.0,2.4,2MB,1TB,4.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.19,384.30 x 254.60 x 24.30,384.3,254.6,24.3,DOS,802.11 ac,4.1,3,"2 x USB 2.0, 1 x USB 3.0",2,1,3.0,False,False,Yes,Touchpad,4.0,Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,,32490.0,3.42,79.0,24.0,6.0,11.0,22.0,37.0,laptop,LAP_3cfe06c31706,"Brand: HP. Model: Pavilion 15-ba021ax. Product: HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch). Processor: AMD APU Quad Core A10 7th Gen A10 9600P. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Intel Integrated Graphics / Nvidia GeForce 940MX. Dedicated graphics: No. Screen size: 15.6 inches. Weight: 2.19 kg. Price: ₹32490.0. Rating: 3.42 out of 5.",
LAP_cbc3d277cf6e,HP,Pavilion 15-au009tx,15-au009tx,hp,"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",Pavilion,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,True,8.0,2.5,4MB,1TB,8.0,HDD,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,2.0,383.00 x 243.00 x 22.50,383.0,243.0,22.5,Windows 10 Home,802.11 ac,4.2,3,"1 x USB 2.0, 2 x USB 3.0",1,2,3.0,False,False,Yes,Touchpad,2.0,Turbo Silver,Yes,Yes,Multi format card reader,Yes,Standard,10/100 Base T,72249.0,4.15,19.0,16.0,0.0,0.0,21.0,63.0,laptop,LAP_cbc3d277cf6e,"Brand: HP. Model: Pavilion 15-au009tx. Product: HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver). Processor: Intel Core i7 6th Gen 6500U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.0 kg. Price: ₹72249.0. Rating: 4.15 out of 5.",
LAP_16e9860f38e9,MSI,PS63 Modern 8RC,PS63 Modern 8RC,msi,"MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches)",Prestige,Intel Core i7 8th Gen i7-8565U,Nvidia GeForce GTX 1050,True,4.0,1.8,,,4.0,,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,1.6,233.70 x 356.80 x 15.90,233.7,356.8,15.9,Windows 10,802.11 a/b/g/n/ac,5.0,4,"2 x USB 3.1 Gen 1 (Type A), 1 x USB 3.1 Gen 1 (Type C), 1 x USB 3.1 Gen 2 (Type A)",0,4,4.0,False,True,Yes,Trackpad,4.0,Carbon Gray,No,2 Speakers,1 Micro SD Card Reader,No,Standard,,102000.0,4.34,3.0,0.0,0.0,33.0,0.0,67.0,laptop,LAP_16e9860f38e9,"Brand: MSI. Model: PS63 Modern 8RC. Product: MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches). Processor: Intel Core i7 8th Gen i7-8565U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Graphics processor: Nvidia GeForce GTX 1050. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 1.6 kg. Price: ₹102000.0. Rating: 4.34 out of 5.",
LAP_f2f45d78e1c9,Acer,TravelMate P2 TMP259-G2-MG,TMP259-G2-MG,acer,"Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",TravelMate P2,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,True,8.0,2.5,3MB,1TB,8.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.2,381.60 x 259.00 x 30.20,381.6,259.0,30.2,Windows 10 Professional,802.11 b/g/n/ac,4.2,3,"1 x USB 2.0, 2 x USB 3.0",1,2,3.0,False,False,Yes,Touchpad,4.0,Black,,2 Speakers,SD Card Reader,Yes,Yes,Gigabit Ethernet,42900.0,3.86,122.0,15.0,5.0,8.0,23.0,49.0,laptop,LAP_f2f45d78e1c9,"Brand: Acer. Model: TravelMate P2 TMP259-G2-MG. Product: Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black). Processor: Intel Core i5 7th Gen 7200U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.2 kg. Price: ₹42900.0. Rating: 3.86 out of 5.",Yes
LAP_63bbe2bb0e23,HP,Pavilion 15-ab522tx,15-ab522tx,hp,"HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver)",Pavilion,Intel Core i5 6th Gen 6200U,Nvidia GeForce 940M,True,8.0,2.3,3MB,1TB,8.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.09,384.50 x 2611.00 x 25.20,384.5,2611.0,25.2,Windows 10 Home,802.11 b/g/n,4.0,3,"1 x USB 2.0, 2 x USB 3.0",1,2,3.0,False,False,Yes,Touchpad,4.0,Natural Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100/1000 Base T,59190.0,4.17,65.0,11.0,2.0,6.0,22.0,60.0,laptop,LAP_63bbe2bb0e23,"Brand: HP. Model: Pavilion 15-ab522tx. Product: HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver). Processor: Intel Core i5 6th Gen 6200U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940M. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.09 kg. Price: ₹59190.0. Rating: 4.17 out of 5.",
LAP_c404cd195a93,HP,Pavilion 15-ac179tx,15-ac179tx,hp,"HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",Pavilion,Intel Core i5 6th Gen I5 6200U,Nvidia GeForce 820M,True,4.0,2.2,3MB,1TB,4.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.19,384.30 x 254.60 x 24.30,384.3,254.6,24.3,DOS,802.11 ac,4.0,3,"1 x USB 2.0, 2 x USB 3.0",1,2,3.0,False,False,Yes,Touchpad,4.0,Turbo Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,,43690.0,3.09,11.0,36.0,9.0,0.0,18.0,36.0,laptop,LAP_c404cd195a93,"Brand: HP. Model: Pavilion 15-ac179tx. Product: HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver). Processor: Intel Core i5 6th Gen I5 6200U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 820M. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.19 kg. Price: ₹43690.0. Rating: 3.09 out of 5.",
LAP_213ff27cfc35,Asus,R558UQ-DM540D,R558UQ-DM540D,asus,"Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch)",R Series,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,True,4.0,2.5,3MB,1TB,4.0,HDD,15.6,1080x1920 pixels,1080.0,1920.0,2073600.0,2.1,256.00 x 382.00 x 26.00,256.0,382.0,26.0,DOS,802.11 ac,4.0,3,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",1,2,3.0,False,False,Yes,Touchpad,2.0,Gold,Yes,Yes,SD Card Reader,Yes,Standard,10/100/1000 Base T,40999.0,4.01,33.0,12.0,6.0,9.0,15.0,58.0,laptop,LAP_213ff27cfc35,"Brand: Asus. Model: R558UQ-DM540D. Product: Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch). Processor: Intel Core i5 7th Gen 7200U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.1 kg. Price: ₹40999.0. Rating: 4.01 out of 5.",
LAP_a09fac929a3a,Asus,R558UQ-DM701D,R558UQ-DM701D,asus,"Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",R Series,Intel Core i7 7th Gen 7500U,Intel Integrated HD Graphics 5500,False,8.0,2.7,4MB,1TB,8.0,HDD,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,2.3,382.00 x 256.00 x 25.50,382.0,256.0,25.5,DOS,802.11 b/g/n,4.0,2,"1 x USB 2.0, 1 x USB 3.0",1,1,2.0,False,False,Yes,Touchpad,2.0,Black,Yes,2 Speakers,Multi format card reader,Yes,Standard,Gigabit Ethernet,51990.0,3.52,36.0,28.0,3.0,8.0,11.0,50.0,laptop,LAP_a09fac929a3a,"Brand: Asus. Model: R558UQ-DM701D. Product: Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch). Processor: Intel Core i7 7th Gen 7500U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: Intel Integrated HD Graphics 5500. Dedicated graphics: No. Screen size: 15.6 inches. Weight: 2.3 kg. Price: ₹51990.0. Rating: 3.52 out of 5.",
